                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.49747,                0.47786,                 1.0324,                0.87612,                0.92727,                0.92958,                0.73961,                 0.6795,                0.72407,                 1.3793,               0.003268,               0.003268,               0.003268
                     36,                0.55424,                0.47938,                 1.0564,                0.71778,                0.78182,                0.72902,                0.54191,                0.82171,                 1.2312,                 1.5382,                0.00307,                0.00307,                0.00307
                     37,                0.51034,                0.45252,                 1.0551,                0.92358,                0.98182,                0.98948,                0.88486,                0.49019,                0.43889,                 1.1417,               0.002872,               0.002872,               0.002872
                     38,                0.47488,                0.43753,                 1.0445,                0.97619,                0.96364,                0.99181,                0.89517,                0.43743,                0.40189,                 1.0737,               0.002674,               0.002674,               0.002674
                     39,                0.48702,                0.42963,                 1.0166,                0.95986,                0.96364,                0.99048,                0.89118,                0.46682,                0.44026,                 1.0838,               0.002476,               0.002476,               0.002476
                     40,                0.36595,                0.42108,                0.96111,                0.98038,                0.98182,                0.99337,                0.89894,                0.38982,                0.39068,                 1.0131,               0.002278,               0.002278,               0.002278
                     41,                0.34551,                0.32638,                0.99666,                0.94338,                 0.9088,                0.93686,                0.72404,                0.75792,                0.66425,                 1.4162,                0.00208,                0.00208,                0.00208
                     42,                 0.3217,                0.43679,                0.95952,                0.99966,                0.98182,                0.99346,                0.90403,                0.39588,                0.32417,                 1.0505,               0.001882,               0.001882,               0.001882
                     43,                0.37343,                0.36193,                 1.0202,                      1,                0.98088,                0.99448,                0.93105,                0.35773,                0.29109,                 1.0023,               0.001684,               0.001684,               0.001684
                     44,                0.34229,                0.30754,                0.98807,                0.96152,                0.98182,                 0.9934,                  0.934,                0.33913,                0.27367,                0.98632,               0.001486,               0.001486,               0.001486
                     45,                 0.3242,                0.27518,                0.98137,                      1,                0.97971,                0.99432,                0.92983,                0.36648,                0.29562,                 1.0039,               0.001288,               0.001288,               0.001288
                     46,                0.34298,                0.27367,                0.95012,                      1,                 0.9806,                0.99465,                0.93935,                0.33901,                0.27545,                 0.9816,                0.00109,                0.00109,                0.00109
                     47,                0.30249,                0.25943,                0.98395,                0.99999,                0.98182,                0.99465,                0.93586,                0.33347,                0.27768,                0.99261,               0.000892,               0.000892,               0.000892
                     48,                0.29983,                0.27957,                  0.961,                      1,                0.98065,                0.99373,                0.94919,                0.33075,                0.27333,                0.98921,               0.000694,               0.000694,               0.000694
                     49,                0.28348,                0.24614,                0.93071,                0.99734,                0.94545,                0.99212,                0.94993,                0.31755,                0.27304,                0.98431,               0.000496,               0.000496,               0.000496
